id,timestamp,duration,data,app
145,2025-02-10 14:12:31.562000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
146,2025-02-10 14:12:31.562000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
147,2025-02-10 14:12:31.562000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
142,2025-02-10 14:12:14.936000+00:00,16.382,"{'app': 'WindowsTerminal.exe', 'title': 'C:\\Windows\\System32\\cmd.exe - pip  install requests pandas matplotlib seaborn plotly torch torchvision scikit-learn'}",WindowsTerminal.exe
139,2025-02-10 14:11:57.962000+00:00,16.723,"{'app': 'powershell.exe', 'title': 'Administrator: Windows PowerShell'}",powershell.exe
140,2025-02-10 14:11:57.962000+00:00,11.022,"{'app': 'powershell.exe', 'title': 'Administrator: Windows PowerShell'}",powershell.exe
141,2025-02-10 14:11:57.962000+00:00,11.022,"{'app': 'powershell.exe', 'title': 'Administrator: Windows PowerShell'}",powershell.exe
133,2025-02-10 14:11:57.387000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
134,2025-02-10 14:11:57.387000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
135,2025-02-10 14:11:57.387000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
136,2025-02-10 14:11:57.387000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
137,2025-02-10 14:11:57.387000+00:00,0.0,"{'app': 'explorer.exe', 'title': ''}",explorer.exe
129,2025-02-10 14:11:45.404000+00:00,11.61,"{'app': 'WindowsTerminal.exe', 'title': 'C:\\Windows\\System32\\cmd.exe - pip  install requests pandas matplotlib seaborn plotly torch torchvision scikit-learn'}",WindowsTerminal.exe
130,2025-02-10 14:11:45.404000+00:00,10.443,"{'app': 'WindowsTerminal.exe', 'title': 'C:\\Windows\\System32\\cmd.exe - pip  install requests pandas matplotlib seaborn plotly torch torchvision scikit-learn'}",WindowsTerminal.exe
131,2025-02-10 14:11:45.404000+00:00,10.288,"{'app': 'WindowsTerminal.exe', 'title': 'C:\\Windows\\System32\\cmd.exe - pip  install requests pandas matplotlib seaborn plotly torch torchvision scikit-learn'}",WindowsTerminal.exe
132,2025-02-10 14:11:45.404000+00:00,10.288,"{'app': 'WindowsTerminal.exe', 'title': 'C:\\Windows\\System32\\cmd.exe - pip  install requests pandas matplotlib seaborn plotly torch torchvision scikit-learn'}",WindowsTerminal.exe
122,2025-02-10 14:11:44.891000+00:00,0.0,"{'app': 'explorer.exe', 'title': 'UnlockingWindow'}",explorer.exe
123,2025-02-10 14:11:44.891000+00:00,0.0,"{'app': 'explorer.exe', 'title': 'UnlockingWindow'}",explorer.exe
125,2025-02-10 14:11:44.498000+00:00,0.0,"{'app': 'explorer.exe', 'title': 'UnlockingWindow'}",explorer.exe
107,2025-02-10 14:11:43.801000+00:00,0.496,"{'app': 'LockApp.exe', 'title': ""We like this picture, so we're sharing it with you.""}",LockApp.exe
127,2025-02-10 14:11:43.463000+00:00,1.01,"{'app': 'LockApp.exe', 'title': ""We like this picture, so we're sharing it with you.""}",LockApp.exe
128,2025-02-10 14:11:43.463000+00:00,1.01,"{'app': 'LockApp.exe', 'title': ""We like this picture, so we're sharing it with you.""}",LockApp.exe
102,2025-02-10 14:11:43.131000+00:00,0.139,"{'app': 'unknown', 'title': ''}",unknown
105,2025-02-10 14:11:43.131000+00:00,0.0,"{'app': 'unknown', 'title': ''}",unknown
112,2025-02-10 14:11:43.131000+00:00,0.0,"{'app': 'unknown', 'title': ''}",unknown
94,2025-02-10 14:11:43.083000+00:00,0.187,"{'app': 'unknown', 'title': ''}",unknown
100,2025-02-10 14:11:43.083000+00:00,0.0,"{'app': 'unknown', 'title': ''}",unknown
101,2025-02-10 14:11:43.083000+00:00,0.0,"{'app': 'unknown', 'title': ''}",unknown
95,2025-02-10 14:01:49.227000+00:00,2.42,"{'app': 'unknown', 'title': ''}",unknown
91,2025-02-10 14:01:49.088000+00:00,2.533,"{'app': 'unknown', 'title': ''}",unknown
93,2025-02-10 14:01:49.057000+00:00,3.726,"{'app': 'unknown', 'title': ''}",unknown
96,2025-02-10 14:01:49.057000+00:00,3.726,"{'app': 'unknown', 'title': ''}",unknown
97,2025-02-10 14:01:49.057000+00:00,3.726,"{'app': 'unknown', 'title': ''}",unknown
119,2025-02-10 14:01:41.726000+00:00,5.933,"{'app': 'WindowsTerminal.exe', 'title': 'C:\\Windows\\System32\\cmd.exe - pip  install requests pandas matplotlib seaborn plotly torch torchvision scikit-learn'}",WindowsTerminal.exe
121,2025-02-10 14:01:41.726000+00:00,5.933,"{'app': 'WindowsTerminal.exe', 'title': 'C:\\Windows\\System32\\cmd.exe - pip  install requests pandas matplotlib seaborn plotly torch torchvision scikit-learn'}",WindowsTerminal.exe
